route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
801,RINFRA-801-1_Weekday-17,46663122,,0,107,801NB_120323
801,RINFRA-801-1_Weekday-17,46663123,,0,101,801NB_120323
801,RINFRA-801-1_Weekday-17,46663124,,0,102,801NB_120323
801,RINFRA-801-1_Weekday-17,46663125,,0,119,801NB_120323
801,RINFRA-801-1_Weekday-17,46663126,,1,106,801SB_120323
801,RINFRA-801-1_Weekday-17,46663127,,0,123,801NB_120323
801,RINFRA-801-1_Weekday-17,46663128,,0,120,801NB_120323
801,RINFRA-801-1_Weekday-17,46663129,,0,122,801NB_120323
801,RINFRA-801-1_Weekday-17,46663130,,0,121,801NB_120323
801,RINFRA-801-1_Weekday-17,46663131,,0,122,801NB_120323
801,RINFRA-801-1_Weekday-17,46663132,,0,105,801NB_120323
801,RINFRA-801-1_Weekday-17,46663133,,0,104,801NB_120323
801,RINFRA-801-1_Weekday-17,46663134,,0,124,801NB_120323
801,RINFRA-801-1_Weekday-17,46663135,,0,125,801NB_120323
801,RINFRA-801-1_Weekday-17,46663136,,0,103,801NB_120323
801,RINFRA-801-1_Weekday-17,46663137,,0,109,801NB_120323
801,RINFRA-801-1_Weekday-17,46663138,,0,110,801NB_120323
801,RINFRA-801-1_Weekday-17,46663139,,0,111,801NB_120323
801,RINFRA-801-1_Weekday-17,46663140,,0,108,801NB_120323
801,RINFRA-801-1_Weekday-17,46663141,,1,109,801SB_120323
801,RINFRA-801-1_Weekday-17,46663142,,1,111,801SB_120323
801,RINFRA-801-1_Weekday-17,46663143,,1,106,801SB_120323
801,RINFRA-801-1_Weekday-17,46663144,,1,103,801SB_120323
801,RINFRA-801-1_Weekday-17,46663145,,1,108,801SB_120323
801,RINFRA-801-1_Weekday-17,46663146,,1,107,801SB_120323
801,RINFRA-801-1_Weekday-17,46663147,,1,101,801SB_120323
801,RINFRA-801-1_Weekday-17,46663148,,1,102,801SB_120323
801,RINFRA-801-1_Weekday-17,46663149,,1,110,801SB_120323
801,RINFRA-801-1_Weekday-17,46663150,,1,121,801SB_120323
801,RINFRA-801-1_Weekday-17,46663151,,1,119,801SB_120323
801,RINFRA-801-1_Weekday-17,46663152,,1,120,801SB_120323
801,RINFRA-801-1_Weekday-17,46663153,,1,122,801SB_120323
801,RINFRA-801-1_Weekday-17,46663154,,1,123,801SB_120323
801,RINFRA-801-1_Weekday-17,46663155,,1,110,801SB_120323
801,RINFRA-801-1_Weekday-17,46663156,,1,103,801SB_120323
801,RINFRA-801-1_Weekday-17,46663157,,1,109,801SB_120323
801,RINFRA-801-1_Weekday-17,46663158,,1,125,801SB_120323
801,RINFRA-801-1_Weekday-17,46663159,,1,124,801SB_120323
801,RINFRA-801-1_Weekday-17,46663160,,1,108,801SB_120323
801,RINFRA-801-1_Weekday-17,46663161,,1,101,801SB_120323
801,RINFRA-801-1_Weekday-17,46663162,,1,105,801SB_120323
801,RINFRA-801-1_Weekday-17,46663163,,1,102,801SB_120323
801,RINFRA-801-1_Weekday-17,46663164,,1,119,801SB_120323
801,RINFRA-801-1_Weekday-17,46663165,,1,120,801SB_120323
801,RINFRA-801-1_Weekday-17,46663166,,1,121,801SB_120323
801,RINFRA-801-1_Weekday-17,46663167,,1,101,801SB_120323
801,RINFRA-801-1_Weekday-17,46663168,,1,602,801SB_120323
801,RINFRA-801-1_Weekday-17,46663169,,1,111,801SB_120323
801,RINFRA-801-1_Weekday-17,46663170,,1,104,801SB_120323
801,RINFRA-801-1_Weekday-17,46663171,,1,106,801SB_120323
801,RINFRA-801-1_Weekday-17,46663172,,1,108,801SB_120323
801,RINFRA-801-1_Weekday-17,46663173,,1,107,801SB_120323
801,RINFRA-801-1_Weekday-17,46663174,,1,103,801SB_120323
801,RINFRA-801-1_Weekday-17,46663175,,1,109,801SB_120323
801,RINFRA-801-1_Weekday-17,46663176,,1,110,801SB_120323
801,RINFRA-801-1_Weekday-17,46663177,,1,111,801SB_120323
801,RINFRA-801-1_Weekday-17,46663178,,1,123,801SB_120323
801,RINFRA-801-1_Weekday-17,46663179,,0,123,801NB_120323
801,RINFRA-801-1_Weekday-17,46663180,,0,125,801NB_120323
801,RINFRA-801-1_Weekday-17,46663181,,0,101,801NB_120323
801,RINFRA-801-1_Weekday-17,46663182,,0,102,801NB_120323
801,RINFRA-801-1_Weekday-17,46663183,,0,104,801NB_120323
801,RINFRA-801-1_Weekday-17,46663184,,1,107,801SB_120323
801,RINFRA-801-1_Weekday-17,46663185,,0,103,801NB_120323
801,RINFRA-801-1_Weekday-17,46663186,,1,108,801SB_120323
801,RINFRA-801-1_Weekday-17,46663187,,0,109,801NB_120323
801,RINFRA-801-1_Weekday-17,46663188,,0,106,801NB_120323
801,RINFRA-801-1_Weekday-17,46663189,,0,110,801NB_120323
801,RINFRA-801-1_Weekday-17,46663190,,1,112,801SB_120323
801,RINFRA-801-1_Weekday-17,46663191,,1,103,801SB_120323
801,RINFRA-801-1_Weekday-17,46663192,,0,107,801NB_120323
801,RINFRA-801-1_Weekday-17,46663194,,0,106,801NB_120323
801,RINFRA-801-1_Weekday-17,46663195,,1,106,801SB_120323
806,RINFRA-801-1_Weekday-17,46663196,,1,658,806SB_160306
806,RINFRA-801-1_Weekday-17,46663197,,1,651,806SB_160306
806,RINFRA-801-1_Weekday-17,46663198,,1,602,806SB_160306
